date_scanned,date_returned,museum_ID,specimen_no,surf,uploaded,identifier,batch,genus,species,sex,age_class,facility,protocol,effective_pixel_size,voltage_kV,current_mA,views,bin_mode,no_scans,scan_time,scanned_by,surface_by,notes,
20190914,in_lab,IW,3118,,,,,Sceloporus,occidentalis,,adult,LKS,93um_360x5,0.092,80,450,360,4x4,5,,,,scanned with 3126 - top,
20190917,,IW,2922,,,,,Sceloporus,occidentalis,male,adult,LKS,46um_360x3,0.046,80,450,360,2x2,3,32m,EPW,,,
20190917,,IW,2924,,,,,Sceloporus,occidentalis,male,adult,LKS,46um_360x3,0.046,80,450,360,2x2,3,32m,EPW,,,
20190917,,IW,2556,,,,,Anolis,cuvieri,male,adult?,LKS,93um_360x3,0.092,80,450,360,4x4,5,40m,EPW,,,
20190923,20191126,MVZ,62925,,,,,Sceloporus,occidentalis,male,adult,LKS,46um_360x3,0.046,80,450,360,2x2,3,32m,EPW,,,
20191007,20191126,MVZ,5864,,,,,Sceloporus,occidentalis,male,adult,LKS,46um_360x3,0.046,80,450,360,2x2,3,32m,EPW,,re-scanned due to metal tag,
20191015,20191126,MVZ,5938,,,,,Sceloporus,occidentalis,male,adult,LKS,46um_360x3,0.046,80,450,360,2x2,3,32m,EPW,,,
20191015,20191126,MVZ,5943,,,,,Sceloporus,occidentalis,male,adult,LKS,46um_360x3,0.046,80,450,360,2x2,3,32m,EPW,,tail broken,venter mostly blue
20191022,20191126,MVZ,5939,,,,,Sceloporus,occidentalis,male,adult,LKS,93um_360x4,0.092,80,450,360,4x4,5,30m,EPW,,,
20191022,20191126,MVZ,5946,,,,,Sceloporus,occidentalis,male,adult,LKS,93um_360x4,0.092,80,450,360,4x4,5,30m,EPW,,,
20191023,20191126,MVZ,5945,,,,,Sceloporus,occidentalis,male,adult,LKS,93um_360x4,0.092,80,450,360,4x4,5,30m,EPW,,,
20191023,20191126,MVZ,55393,,,,,Sceloporus,occidentalis,male,adult/subadult,LKS,93um_360x4,0.092,80,450,360,4x4,5,30m,EPW,,,
20191105,20191126,MVZ,5940,,,,,Sceloporus,occidentalis,male,subadult,LKS,93um_360x3,0.092,80,450,360,4x4,3,,EPW,,,
20191105,20191126,MVZ,55394,,,,,Sceloporus,occidentalis,male,adult,LKS,93um_360x4,0.092,80,450,360,4x4,4,,EPW,,,
20191106,20191126,MVZ,5944,,,,,Sceloporus,occidentalis,male,subadult,LKS,93um_360x3,0.092,80,450,360,4x4,3,,EPW,,,
20191106,20191126,MVZ,5863,,,,,Sceloporus,occidentalis,male,adult,LKS,93um_360x4,0.092,80,450,360,4x4,4,,EPW,,,
20191112,20191126,MVZ,5846,,,,,Sceloporus,occidentalis,male,subadult,LKS,93um_360x3,0.092,80,450,360,4x4,3,,EPW,,,
20191112,20191126,MVZ,5942,,,,,Sceloporus,occidentalis,male,subadult,LKS,93um_360x4,0.092,80,450,360,4x4,4,,EPW,,,
20191113,20191126,MVZ,62917,,,,,Sceloporus,occidentalis,male,subadult,LKS,93um_360x3,0.092,80,450,360,4x4,3,,EPW,,,
20191113,20191126,MVZ,235277,,,,,Anolis,cristatellus,male,??,LKS,93um_360x4,0.092,80,450,360,4x4,4,,EPW,,,
20191119,20191126,MVZ,62924,,,,,Sceloporus,occidentalis,male,subadult,LKS,93um_360x3,0.092,80,450,360,4x4,4,,EPW,,tail broken,
20191119,20191126,MVZ,59493,,,,,Sceloporus,occidentalis,male,adult,LKS,93um_360x4,0.092,80,450,360,4x4,3,,EPW,,,
20191204,20200311,MVZ,34813,,,,,Sceloporus,occidentalis,male,adult,LKS,93um_360x4,0.092,80,450,360,4x4,4,,EPW,,,
20191204,20200311,MVZ,34818,,,,,Sceloporus,occidentalis,male,adult,LKS,93um_360x4,0.092,80,450,360,4x4,3,,EPW,,,
20191205,20200311,MVZ,5956,,,,,Sceloporus,occidentalis,male,adult,LKS,93um_360x4,0.092,80,450,360,4x4,4,,EPW,,,
20200123,20200311,MVZ,12235,,,,,Sceloporus,occidentalis,male,adult,LKS,93um_360x4,0.092,80,450,360,4x4,4,,EPW,,,
20200123,20200311,MVZ,47262,,,,,Sceloporus,occidentalis,male,adult,LKS,93um_360x4,0.092,80,450,360,4x4,4,,EPW,,,
20200123,20200311,MVZ,228055,,,,,Sceloporus,occidentalis,male,adult,LKS,93um_360x4,0.092,80,450,360,4x4,4,,EPW,,,
20200130,20200311,MVZ,34812,,,,,Sceloporus,occidentalis,male,adult,LKS,93um_360x4,0.092,80,450,360,4x4,4,,EPW,,,
20200130,20200311,MVZ,74450,,,,,Sceloporus,occidentalis,male,adult,LKS,93um_360x4,0.092,80,450,360,4x4,4,,EPW,,,
20200203,20200311,MVZ,5937,,,,,Sceloporus,occidentalis,,,LKS,93um_360x4,0.092,80,450,360,4x4,4,,EPW,,,
20200203,20200311,MVZ,34811,,,,,Sceloporus,occidentalis,,,LKS,93um_360x4,0.092,80,450,360,4x4,4,,EPW,,,
20200206,20200311,MVZ,34814,,,,,Sceloporus,occidentalis,male,subadult,LKS,93um_360x4,0.092,80,450,360,4x4,4,,EPW,,,
20200206,20200311,MVZ,34816,,,,,Sceloporus,occidentalis,male,subadult,LKS,93um_360x4,0.092,80,450,360,4x4,4,,EPW,,,
20200220,20200311,MVZ,47261,,,,,Sceloporus,occidentalis,male,subadult,LKS,93um_360x4,0.092,80,450,360,4x4,4,,EPW,,,
