type,modified,license,rightsholder,accessrights,bibliographiccitation,references,institutionid,collectionid,datasetid,institutioncode,collectioncode,datasetname,basisofrecord,informationwithheld,datageneralizations,dynamicproperties,occurrenceid,catalognumber,recordnumber,recordedby,individualcount,sex,lifestage,reproductivecondition,behavior,establishmentmeans,occurrencestatus,preparations,disposition,associatedmedia,associatedreferences,associatedsequences,associatedtaxa,othercatalognumbers,occurrenceremarks,organismid,organismname,organismscope,associatedoccurrences,associatedorganisms,previousidentifications,organismremarks,materialsampleid,eventid,fieldnumber,eventdate,eventtime,startdayofyear,enddayofyear,year,month,day,verbatimeventdate,habitat,samplingprotocol,samplingeffort,fieldnotes,eventremarks,locationid,highergeographyid,highergeography,continent,waterbody,islandgroup,island,country,countrycode,stateprovince,county,municipality,locality,verbatimlocality,minimumelevationinmeters,maximumelevationinmeters,verbatimelevation,minimumdepthinmeters,maximumdepthinmeters,verbatimdepth,minimumdistanceabovesurfaceinmeters,maximumdistanceabovesurfaceinmeters,locationaccordingto,locationremarks,decimallatitude,decimallongitude,geodeticdatum,coordinateuncertaintyinmeters,coordinateprecision,verbatimcoordinates,verbatimlatitude,verbatimlongitude,verbatimcoordinatesystem,verbatimsrs,footprintwkt,footprintsrs,georeferencedby,georeferenceddate,georeferenceprotocol,georeferencesources,georeferenceverificationstatus,georeferenceremarks,geologicalcontextid,earliesteonorlowesteonothem,latesteonorhighesteonothem,earliesteraorlowesterathem,latesteraorhighesterathem,earliestperiodorlowestsystem,latestperiodorhighestsystem,earliestepochorlowestseries,latestepochorhighestseries,earliestageorloweststage,latestageorhigheststage,lowestbiostratigraphiczone,highestbiostratigraphiczone,lithostratigraphicterms,group,formation,member,bed,identificationid,identificationqualifier,typestatus,identifiedby,dateidentified,identificationreferences,identificationverificationstatus,identificationremarks,scientificnameid,namepublishedinid,scientificname,acceptednameusage,originalnameusage,namepublishedin,namepublishedinyear,higherclassification,kingdom,phylum,class,order,family,genus,subgenus,specificepithet,infraspecificepithet,taxonrank,verbatimtaxonrank,scientificnameauthorship,vernacularname,nomenclaturalcode,taxonomicstatus,taxonremarks,lengthinmm,lengthtype,lengthunitsinferred,massing,massunitsinferred,underivedlifestage,underivedsex,dataset_url,dataset_citation,gbifdatasetid,gbifpublisherid,dataset_contact_email,dataset_contact,dataset_pubdate,lastindexed,migrator_version,hasmedia,hastissue,wascaptive,isfossil,vntype,haslength
PhysicalObject,6/19/2019 15:55,http://creativecommons.org/publicdomain/zero/1.0/,,http://www.vertnet.org/resources/norms.html,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Herp Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Herp:228763?seid=1223396. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_herp (source published on 2019-07-06)",http://arctos.database.museum/guid/MVZ:Herp:228763,urn:lsid:biocol.org:col:34777,urn:lsid:biocol.org:col:34818,,MVZ,Amphibian and reptile specimens,,PreservedSpecimen,,,sex=unknown ; age class=adult/juvenile,http://arctos.database.museum/guid/MVZ:Herp:228763?seid=1223396,MVZ:Herp:228763,23,Collector(s): Mollie K. Manier,1,undetermined,adult/juvenile,,,,,tissue (frozen); whole organism (ethanol),,,,,,collector number=23,,http://arctos.database.museum/guid/MVZ:Herp:228763,,,,,"<i>Sceloporus occidentalis</i> (accepted ID) identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy",,,,,5/31/1998,,151,151,1998,5,31,5/31/1998,,,,,,,,"North America, United States, California, Mendocino County",North America,,,,United States,,California,Mendocino County,,"E side of Eel River, Leggett","E side of Eel R., Leggett",300,300,,,,,,,Julian A. Kapoor,,39.8640346,-123.7211565,North American Datum 1927,927,,39.8640346/-123.7211565,,,decimal degrees,,,,Julian A. Kapoor,7/2/2002,MaNIS georeferencing guidelines,Terrain Navigator 3.02 USGS 1:24000,unverified,,,,,,,,,,,,,,,,,,,,,A,,"Museum of Vertebrate Zoology, University of California, Berkeley",1/27/1999,,legacy,,,,Sceloporus occidentalis,,,,,Animalia; Chordata; Reptilia; Squamata; Iguanidae; Phrynosomatinae;,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,,occidentalis,,species,,,,ICZN,,,,,,,,adult/juvenile,unknown,,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Herp Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_herp (source published on 2019-07-06)",09c4287e-e6d5-4552-a07f-bff8a00833d8,8edbbde0-055e-11d8-b850-b8a03c50a862,atrox@berkeley.edu,Carol Spencer,7/6/2019,9/22/2019,no migrator,0,1,0,0,specimen,0
PhysicalObject,6/19/2019 15:55,http://creativecommons.org/publicdomain/zero/1.0/,,http://www.vertnet.org/resources/norms.html,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Herp Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Herp:228764?seid=1714660. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_herp (source published on 2019-07-06)",http://arctos.database.museum/guid/MVZ:Herp:228764,urn:lsid:biocol.org:col:34777,urn:lsid:biocol.org:col:34818,,MVZ,Amphibian and reptile specimens,,PreservedSpecimen,,,sex=unknown ; age class=adult/juvenile,http://arctos.database.museum/guid/MVZ:Herp:228764?seid=1714660,MVZ:Herp:228764,24,Collector(s): Mollie K. Manier,1,undetermined,adult/juvenile,,,,,tissue (frozen); whole organism (ethanol),,,,,,collector number=24,,http://arctos.database.museum/guid/MVZ:Herp:228764,,,,,"<i>Sceloporus occidentalis</i> (accepted ID) identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy",,,,,5/31/1998,,151,151,1998,5,31,5/31/1998,,,,,,,,"North America, United States, California, Mendocino County",North America,,,,United States,,California,Mendocino County,,"E side of Eel River, Leggett","E side of Eel R., Leggett",300,300,,,,,,,Julian A. Kapoor,,39.8640346,-123.7211565,North American Datum 1927,927,,39.8640346/-123.7211565,,,decimal degrees,,,,Julian A. Kapoor,7/2/2002,MaNIS georeferencing guidelines,Terrain Navigator 3.02 USGS 1:24000,unverified,,,,,,,,,,,,,,,,,,,,,A,,"Museum of Vertebrate Zoology, University of California, Berkeley",1/27/1999,,legacy,,,,Sceloporus occidentalis,,,,,Animalia; Chordata; Reptilia; Squamata; Iguanidae; Phrynosomatinae;,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,,occidentalis,,species,,,,ICZN,,,,,,,,adult/juvenile,unknown,,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Herp Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_herp (source published on 2019-07-06)",09c4287e-e6d5-4552-a07f-bff8a00833d8,8edbbde0-055e-11d8-b850-b8a03c50a862,atrox@berkeley.edu,Carol Spencer,7/6/2019,9/22/2019,no migrator,0,1,0,0,specimen,0
PhysicalObject,6/19/2019 15:55,http://creativecommons.org/publicdomain/zero/1.0/,,http://www.vertnet.org/resources/norms.html,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Herp Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Herp:228767?seid=420832. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_herp (source published on 2019-07-06)",http://arctos.database.museum/guid/MVZ:Herp:228767,urn:lsid:biocol.org:col:34777,urn:lsid:biocol.org:col:34818,,MVZ,Amphibian and reptile specimens,,PreservedSpecimen,,,sex=unknown ; age class=adult/juvenile,http://arctos.database.museum/guid/MVZ:Herp:228767?seid=420832,MVZ:Herp:228767,27,Collector(s): Mollie K. Manier,1,undetermined,adult/juvenile,,,,,tissue (frozen); whole organism (ethanol),,,,,,collector number=27,,http://arctos.database.museum/guid/MVZ:Herp:228767,,,,,"<i>Sceloporus occidentalis</i> (accepted ID) identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy",,,,,5/31/1998,,151,151,1998,5,31,5/31/1998,,,,,,,,"North America, United States, California, Mendocino County",North America,,,,United States,,California,Mendocino County,,"E side of Eel River, Leggett","E side of Eel R., Leggett",300,300,,,,,,,Julian A. Kapoor,,39.8640346,-123.7211565,North American Datum 1927,927,,39.8640346/-123.7211565,,,decimal degrees,,,,Julian A. Kapoor,7/2/2002,MaNIS georeferencing guidelines,Terrain Navigator 3.02 USGS 1:24000,unverified,,,,,,,,,,,,,,,,,,,,,A,,"Museum of Vertebrate Zoology, University of California, Berkeley",1/27/1999,,legacy,,,,Sceloporus occidentalis,,,,,Animalia; Chordata; Reptilia; Squamata; Iguanidae; Phrynosomatinae;,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,,occidentalis,,species,,,,ICZN,,,,,,,,adult/juvenile,unknown,,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Herp Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_herp (source published on 2019-07-06)",09c4287e-e6d5-4552-a07f-bff8a00833d8,8edbbde0-055e-11d8-b850-b8a03c50a862,atrox@berkeley.edu,Carol Spencer,7/6/2019,9/22/2019,no migrator,0,1,0,0,specimen,0
PhysicalObject,9/17/2019 2:23,http://creativecommons.org/publicdomain/zero/1.0/,,http://vertnet.org/resources/norms.html,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Herp Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Herp:228768?seid=1451871. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_herp (source published on 2019-07-06)",http://arctos.database.museum/guid/MVZ:Herp:228768,MVZ,30,,MVZ,Amphibian and reptile specimens,,PreservedSpecimen,,,sex=unknown ; age class=adult/juvenile,http://arctos.database.museum/guid/MVZ:Herp:228768?seid=1451871,MVZ:Herp:228768,19,Collector(s): Mollie K. Manier,1,undetermined,adult/juvenile,,,,,tissue (frozen); whole organism (ethanol),,,,,,collector number=19,,http://arctos.database.museum/guid/MVZ:Herp:228768,,,,,"<i>Sceloporus occidentalis</i> (accepted ID) identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy",,,,,5/30/1998,,150,150,1998,5,30,5/30/1998,,,,,,,,"North America, United States, California, Yolo County",North America,,,,United States,,California,Yolo County,,"8 mi S junction Hwy. 20 on Hwy. 16, E bank Cache Creek","8 mi S jct. Hwy. 20 on Hwy. 16, E bank Cache Cr.",300,300,,,,,,,Catherine E. Dana,,38.9220937,-122.3199745,North American Datum 1927,1655,,38.9220937/-122.3199745,,,decimal degrees,,,,Catherine E. Dana,3/8/2002,MaNIS georeferencing guidelines,Terrain Navigator 3.02 USGS 1:24000,unverified,,,,,,,,,,,,,,,,,,,,,A,,"Museum of Vertebrate Zoology, University of California, Berkeley",1/27/1999,,legacy,,,,Sceloporus occidentalis,,,,,Animalia; Chordata; Reptilia; Squamata; Iguanidae; Phrynosomatinae;,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,,occidentalis,,species,,,,ICZN,,,,,,,,adult/juvenile,unknown,,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Herp Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_herp (source published on 2019-07-06)",09c4287e-e6d5-4552-a07f-bff8a00833d8,8edbbde0-055e-11d8-b850-b8a03c50a862,atrox@berkeley.edu,Carol Spencer,7/6/2019,9/22/2019,no migrator,0,1,0,0,specimen,0
PhysicalObject,9/17/2019 2:23,http://creativecommons.org/publicdomain/zero/1.0/,,http://vertnet.org/resources/norms.html,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Herp Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Herp:228770?seid=1524501. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_herp (source published on 2019-07-06)",http://arctos.database.museum/guid/MVZ:Herp:228770,MVZ,30,,MVZ,Amphibian and reptile specimens,,PreservedSpecimen,,,sex=unknown ; age class=adult/juvenile,http://arctos.database.museum/guid/MVZ:Herp:228770?seid=1524501,MVZ:Herp:228770,21,Collector(s): Mollie K. Manier,1,undetermined,adult/juvenile,,,,,tissue (frozen); whole organism (ethanol),,,,,,collector number=21,,http://arctos.database.museum/guid/MVZ:Herp:228770,,,,,"<i>Sceloporus occidentalis</i> (accepted ID) identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy",,,,,5/30/1998,,150,150,1998,5,30,5/30/1998,,,,,,,,"North America, United States, California, Yolo County",North America,,,,United States,,California,Yolo County,,"8 mi S junction Hwy. 20 on Hwy. 16, E bank Cache Creek","8 mi S jct. Hwy. 20 on Hwy. 16, E bank Cache Cr.",300,300,,,,,,,Catherine E. Dana,,38.9220937,-122.3199745,North American Datum 1927,1655,,38.9220937/-122.3199745,,,decimal degrees,,,,Catherine E. Dana,3/8/2002,MaNIS georeferencing guidelines,Terrain Navigator 3.02 USGS 1:24000,unverified,,,,,,,,,,,,,,,,,,,,,A,,"Museum of Vertebrate Zoology, University of California, Berkeley",1/27/1999,,legacy,,,,Sceloporus occidentalis,,,,,Animalia; Chordata; Reptilia; Squamata; Iguanidae; Phrynosomatinae;,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,,occidentalis,,species,,,,ICZN,,,,,,,,adult/juvenile,unknown,,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Herp Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_herp (source published on 2019-07-06)",09c4287e-e6d5-4552-a07f-bff8a00833d8,8edbbde0-055e-11d8-b850-b8a03c50a862,atrox@berkeley.edu,Carol Spencer,7/6/2019,9/22/2019,no migrator,0,1,0,0,specimen,0
PhysicalObject,6/20/2019 15:17,http://creativecommons.org/publicdomain/zero/1.0/,,http://www.vertnet.org/resources/norms.html,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Herp Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Herp:229008?seid=158495. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_herp (source published on 2019-07-06)",http://arctos.database.museum/guid/MVZ:Herp:229008,urn:lsid:biocol.org:col:34777,urn:lsid:biocol.org:col:34818,,MVZ,Amphibian and reptile specimens,,PreservedSpecimen,,,sex=unknown ; age class=adult/juvenile,http://arctos.database.museum/guid/MVZ:Herp:229008?seid=158495,MVZ:Herp:229008,24542,Collector(s): Theodore J. Papenfuss,1,undetermined,adult/juvenile,,,,,tissue (frozen); whole organism (ethanol),,,,,,collector number=24542,,http://arctos.database.museum/guid/MVZ:Herp:229008,,,,,"<i>Sceloporus occidentalis</i> (accepted ID) identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy",,,,,6/23/1998,,174,174,1998,6,23,6/23/1998,,,,,,,,"North America, United States, California, Monterey County",North America,,,,United States,,California,Monterey County,,"Chew's Ridge, 9.0 mi S (by Tassajara Rd.) of junction with Carmel Valley Rd., Santa Lucia Range","Chews Ridge, 9.0 mi S [by Tassajara road] of Junction With Carmel Valley Rd., Santa Lucia Range",1524,1524,,,,,,,Hasanthi P. Wijesekera,,36.31007,-121.56789,North American Datum 1927,805,,36.31007/-121.56789,,,decimal degrees,,,,Hasanthi P. Wijesekera,4/25/2001,not recorded,Terrain Navigator 3.02 USGS 1:100000,unverified,,,,,,,,,,,,,,,,,,,,,A,,"Museum of Vertebrate Zoology, University of California, Berkeley",1/27/1999,,legacy,,,,Sceloporus occidentalis,,,,,Animalia; Chordata; Reptilia; Squamata; Iguanidae; Phrynosomatinae;,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,,occidentalis,,species,,,,ICZN,,,,,,,,adult/juvenile,unknown,,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Herp Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_herp (source published on 2019-07-06)",09c4287e-e6d5-4552-a07f-bff8a00833d8,8edbbde0-055e-11d8-b850-b8a03c50a862,atrox@berkeley.edu,Carol Spencer,7/6/2019,9/22/2019,no migrator,0,1,0,0,specimen,0
PhysicalObject,6/20/2019 15:17,http://creativecommons.org/publicdomain/zero/1.0/,,http://www.vertnet.org/resources/norms.html,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Herp Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Herp:229009?seid=1601694. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_herp (source published on 2019-07-06)",http://arctos.database.museum/guid/MVZ:Herp:229009,urn:lsid:biocol.org:col:34777,urn:lsid:biocol.org:col:34818,,MVZ,Amphibian and reptile specimens,,PreservedSpecimen,,,sex=unknown ; age class=adult/juvenile,http://arctos.database.museum/guid/MVZ:Herp:229009?seid=1601694,MVZ:Herp:229009,24543,Collector(s): Theodore J. Papenfuss,1,undetermined,adult/juvenile,,,,,tissue (frozen); whole organism (ethanol),,,,,,collector number=24543,,http://arctos.database.museum/guid/MVZ:Herp:229009,,,,,"<i>Sceloporus occidentalis</i> (accepted ID) identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy",,,,,6/23/1998,,174,174,1998,6,23,6/23/1998,,,,,,,,"North America, United States, California, Monterey County",North America,,,,United States,,California,Monterey County,,"Chew's Ridge, 9.0 mi S (by Tassajara Rd.) of junction with Carmel Valley Rd., Santa Lucia Range","Chews Ridge, 9.0 mi S [by Tassajara road] of Junction With Carmel Valley Rd., Santa Lucia Range",1524,1524,,,,,,,Hasanthi P. Wijesekera,,36.31007,-121.56789,North American Datum 1927,805,,36.31007/-121.56789,,,decimal degrees,,,,Hasanthi P. Wijesekera,4/25/2001,not recorded,Terrain Navigator 3.02 USGS 1:100000,unverified,,,,,,,,,,,,,,,,,,,,,A,,"Museum of Vertebrate Zoology, University of California, Berkeley",1/27/1999,,legacy,,,,Sceloporus occidentalis,,,,,Animalia; Chordata; Reptilia; Squamata; Iguanidae; Phrynosomatinae;,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,,occidentalis,,species,,,,ICZN,,,,,,,,adult/juvenile,unknown,,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Herp Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_herp (source published on 2019-07-06)",09c4287e-e6d5-4552-a07f-bff8a00833d8,8edbbde0-055e-11d8-b850-b8a03c50a862,atrox@berkeley.edu,Carol Spencer,7/6/2019,9/22/2019,no migrator,0,1,0,0,specimen,0
PhysicalObject,6/20/2019 15:17,http://creativecommons.org/publicdomain/zero/1.0/,,http://www.vertnet.org/resources/norms.html,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Herp Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Herp:229011?seid=643410. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_herp (source published on 2019-07-06)",http://arctos.database.museum/guid/MVZ:Herp:229011,urn:lsid:biocol.org:col:34777,urn:lsid:biocol.org:col:34818,,MVZ,Amphibian and reptile specimens,,PreservedSpecimen,,,sex=unknown ; age class=adult/juvenile,http://arctos.database.museum/guid/MVZ:Herp:229011?seid=643410,MVZ:Herp:229011,24545,Collector(s): Theodore J. Papenfuss,1,undetermined,adult/juvenile,,,,,tissue (frozen); whole organism (ethanol),,,,,,collector number=24545,,http://arctos.database.museum/guid/MVZ:Herp:229011,,,,,"<i>Sceloporus occidentalis</i> (accepted ID) identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy",,,,,6/23/1998,,174,174,1998,6,23,6/23/1998,,,,,,,,"North America, United States, California, Monterey County",North America,,,,United States,,California,Monterey County,,"Chew's Ridge, 9.0 mi S (by Tassajara Rd.) of junction with Carmel Valley Rd., Santa Lucia Range","Chews Ridge, 9.0 mi S [by Tassajara road] of Junction With Carmel Valley Rd., Santa Lucia Range",1524,1524,,,,,,,Hasanthi P. Wijesekera,,36.31007,-121.56789,North American Datum 1927,805,,36.31007/-121.56789,,,decimal degrees,,,,Hasanthi P. Wijesekera,4/25/2001,not recorded,Terrain Navigator 3.02 USGS 1:100000,unverified,,,,,,,,,,,,,,,,,,,,,A,,"Museum of Vertebrate Zoology, University of California, Berkeley",1/27/1999,,legacy,,,,Sceloporus occidentalis,,,,,Animalia; Chordata; Reptilia; Squamata; Iguanidae; Phrynosomatinae;,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,,occidentalis,,species,,,,ICZN,,,,,,,,adult/juvenile,unknown,,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Herp Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_herp (source published on 2019-07-06)",09c4287e-e6d5-4552-a07f-bff8a00833d8,8edbbde0-055e-11d8-b850-b8a03c50a862,atrox@berkeley.edu,Carol Spencer,7/6/2019,9/22/2019,no migrator,0,1,0,0,specimen,0
PhysicalObject,8/20/2019 15:50,http://creativecommons.org/publicdomain/zero/1.0/,,http://vertnet.org/resources/norms.html,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Herp Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Herp:229057?seid=1352989. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_herp (source published on 2019-07-06)",http://arctos.database.museum/guid/MVZ:Herp:229057,MVZ,30,,MVZ,Amphibian and reptile specimens,,PreservedSpecimen,,,sex=unknown ; age class=adult/juvenile,http://arctos.database.museum/guid/MVZ:Herp:229057?seid=1352989,MVZ:Herp:229057,24497,Collector(s): Theodore J. Papenfuss,1,undetermined,adult/juvenile,,,,,tissue (frozen); whole organism (ethanol),,,,,,collector number=24497,,http://arctos.database.museum/guid/MVZ:Herp:229057,,,,,"<i>Sceloporus occidentalis</i> (accepted ID) identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy",,,,,6/15/1998,,166,166,1998,6,15,6/15/1998,,,,,,,,"North America, United States, California, Yolo County",North America,,,,United States,,California,Yolo County,,"Pocket Gulch at Cache Creek, 3.3 mi NW Rumsey via Hwy. 16, 4.0 mi ESE Lake County line","Pocket Gulch at Cache Cr., 3.3 mi NW Rumsey [by Hwy. 16] , Also 4.0 mi ESE Lake Co. line",161.544,161.544,,,,,,,Catherine E. Dana,,38.9100851,-122.2771897,North American Datum 1927,593,,38.9100851/-122.2771897,,,decimal degrees,,,,Catherine E. Dana,3/8/2002,MaNIS georeferencing guidelines,Terrain Navigator 3.02 USGS 1:24000,unverified,,,,,,,,,,,,,,,,,,,,,A,,"Museum of Vertebrate Zoology, University of California, Berkeley",1/27/1999,,legacy,,,,Sceloporus occidentalis,,,,,Animalia; Chordata; Reptilia; Squamata; Iguanidae; Phrynosomatinae;,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,,occidentalis,,species,,,,ICZN,,,,,,,,adult/juvenile,unknown,,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Herp Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_herp (source published on 2019-07-06)",09c4287e-e6d5-4552-a07f-bff8a00833d8,8edbbde0-055e-11d8-b850-b8a03c50a862,atrox@berkeley.edu,Carol Spencer,7/6/2019,9/22/2019,no migrator,0,1,0,0,specimen,0
PhysicalObject,8/20/2019 15:50,http://creativecommons.org/publicdomain/zero/1.0/,,http://vertnet.org/resources/norms.html,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Herp Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Herp:229058?seid=574648. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_herp (source published on 2019-07-06)",http://arctos.database.museum/guid/MVZ:Herp:229058,MVZ,30,,MVZ,Amphibian and reptile specimens,,PreservedSpecimen,,,sex=unknown ; age class=adult/juvenile,http://arctos.database.museum/guid/MVZ:Herp:229058?seid=574648,MVZ:Herp:229058,24498,Collector(s): Theodore J. Papenfuss,1,undetermined,adult/juvenile,,,,,tissue (frozen); whole organism (ethanol),,,,,,collector number=24498,,http://arctos.database.museum/guid/MVZ:Herp:229058,,,,,"<i>Sceloporus occidentalis</i> (accepted ID) identified by Museum of Vertebrate Zoology, University of California, Berkeley on 1999-01-27; method: legacy",,,,,6/15/1998,,166,166,1998,6,15,6/15/1998,,,,,,,,"North America, United States, California, Yolo County",North America,,,,United States,,California,Yolo County,,"Pocket Gulch at Cache Creek, 3.3 mi NW Rumsey via Hwy. 16, 4.0 mi ESE Lake County line","Pocket Gulch at Cache Cr., 3.3 mi NW Rumsey [by Hwy. 16] , Also 4.0 mi ESE Lake Co. line",161.544,161.544,,,,,,,Catherine E. Dana,,38.9100851,-122.2771897,North American Datum 1927,593,,38.9100851/-122.2771897,,,decimal degrees,,,,Catherine E. Dana,3/8/2002,MaNIS georeferencing guidelines,Terrain Navigator 3.02 USGS 1:24000,unverified,,,,,,,,,,,,,,,,,,,,,A,,"Museum of Vertebrate Zoology, University of California, Berkeley",1/27/1999,,legacy,,,,Sceloporus occidentalis,,,,,Animalia; Chordata; Reptilia; Squamata; Iguanidae; Phrynosomatinae;,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Sceloporus,,occidentalis,,species,,,,ICZN,,,,,,,,adult/juvenile,unknown,,"Museum of Vertebrate Zoology, UC Berkeley. MVZ Herp Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_herp (source published on 2019-07-06)",09c4287e-e6d5-4552-a07f-bff8a00833d8,8edbbde0-055e-11d8-b850-b8a03c50a862,atrox@berkeley.edu,Carol Spencer,7/6/2019,9/22/2019,no migrator,0,1,0,0,specimen,0
