x,y,updated_note,SampleID
-116.45584,34.14939,NA,BUR76
-117.401,33.7009,NA,MNW16-047-S58
-117.25063,32.91449,NA,NTP141
-117.84434,33.98023,request nearby LACM,PUESP14-70
-117.496,33.9613,NA,MNW15-061-S1
-122.85982,38.64033,NA,IW3206
-115.88857,35.77306,request nearby LACM,IW1426
-123.79027,40.01114,NA,IW1493
-122.47486,37.58036,request nearby CAS,IW2916
-122.64935,38.4402,request nearby CAS,IW3203
-117.017,33.9341,NA,JEM16-001-S14
-117.65747,33.88698,NA,CHI1382/DAW5-46-21
-122.01627,37.42099,NA,IW2744
-119.028,34.1101,NA,Array#33
-117.313,33.9855,NA,MNW15-040-S24
-118.46051,35.13909,request nearby CAS,IW3116
-122.49592,37.49569,NA,IW2912
-116.757053,33.19713,NA,NS19-002-S18
-116.77824,33.8093,NA,JAM157
-117.04182,32.81677,NA,MIS26
-123.00119,38.71644,request nearby CAS,IW3205
-118.03729,34.00233,request nearby LACM,PUE1594
-120.1484,38.92982,NA,MLY75
-115.40425,35.14011,scanned,MVZ265298
-120.12153,38.93677,NA,MLY74
-118.678,34.1844,NA,Array#77
-116.01756,34.01265,NA,JOS99
-119.68343,34.0181,NA,MW01-3_-14
-116.874,33.7369,NA,MNW16-025-S28
-121.99662,37.27375,NA,MLY21
-117.125,33.7061,NA,MNW15-040-S84
-116.76332,32.59379,NA,MARSP28-18
-123.63105,40.94813,request nearby MVZ,IW1497
-122.32455,38.41672,NA,IW2782
-118.4518056,35.80036111,scanned,CAS219594
-122.27842,37.78378,NA,IW2893
-122.8166944,39.87311111,scanned,CAS212656
-121.2704722,40.68116667,scanned,CAS227178
-122.19595,37.85054,NA,IW1512
-123.0644167,39.90536111,scanned,CAS220675
-122.47357,37.79162,request nearby CAS,IW2086
-118.07230560000001,35.62188889,scanned,CAS213197
-122.7266944,39.54927778,scanned,CAS212620
-118.1353611,36.025,scanned,CAS213179
-122.7762778,39.36177778,scanned,CAS219452
-118.4985,36.21638889,scanned,CAS224151
-120.0743056,40.06177778,request CAS,CAS225254
-122.8419167,38.80530556,scanned,CAS251463
-120.85677,37.52718,NA,IW3213
-121.78094,36.24772,NA,IW3292
-116.7748,33.80954,NA,HBS136914
-122.08894,37.55198,NA,IW1578
-121.5013611,40.77961111,scanned,CAS227116
-120.5543833,40.55416389,scanned,CAS227622
-121.91607,36.45616,NA,IW1438
-119.8908333,35.00472222,request nearby MVZ,MVZ257099
-116.94359,33.33438,NA,DRC9-71-6
-118.23187,35.46931,request nearby MVZ,MVZ265555
-123.2462222,39.09325,scanned,CAS251436
-118.018456,34.177606,request LACM,LACM188840
-120.1711694,39.86798889,scanned,CAS259640
-118.639661,34.238272,NA,GBP_4561
-115.4065,35.16634,scanned,MVZ265296
-118.844413,34.084178,request nearby LACM,GBP_4364
-117.83517,34.29102,request LACM,LACM186734
-122.1451,38.49528,NA,HBS121986
-122.30232,37.94243,request nearby CAS,IW2828
-120.7521,35.45283333,scanned,CAS214855
-121.80506,37.33383,request nearby CAS,IW2779
-117.03778,32.64327,NA,CV185
-118.305,34.1324,request nearby LACM,GRF8-18-7
-120.0332828,41.58324303,scanned,CAS262282
-118.03014,34.33935,request LACM,LACM186808
-120.64005,37.84006,scanned,MVZ245731
-116.6341984,33.6213112,NA,HBS136913
-121.7691667,39.77116667,scanned,CAS227900
-118.7608611,36.20111111,scanned,CAS224896
-122.1498056,40.24661111,scanned,CAS227430
-122.231,37.872,NA,MVZ257123
-121.43755,36.81953333,scanned,CAS233405
-118.28903,37.51225,request LACM,LACM187165
-122.3010917,38.76499167,scanned,CAS251641
-118.602446,37.479132,request LACM,LACM190475
-120.1352389,38.49745,scanned,CAS259670
-121.82269,38.27639,request nearby CAS,HBS120908
-121.767507,38.00231,NA,MVZ269522
-121.79858,39.23004,request nearby MVZ,HBS134237
-118.614007,35.29752,request LACM,LACM186903
-118.68361,35.6118,NA,HBS136885
-122.76521,38.72679,scanned,CAS234653
-118.00301,36.70302,request LACM,LACM184714
-118.0795,36.89098,request LACM,LACM187133
-121.8571111,40.28652778,scanned,CAS227448
-120.4530556,36.31766667,scanned,CAS252891
-120.25143,39.43361,request nearby MVZ,MVZ244363
-122.18314,40.38944,request nearby MVZ,MVZ257313
-121.18223,36.48009,NA,IW3210
-121.1185,35.582,NA,IW3281
-118.3693611,35.67133333,scanned,CAS219619
-119.2433889,37.33144444,scanned,CAS213075
-121.6934389,40.08143333,scanned,CAS227001
-119.53062,34.40145,scanned,MVZ248469
-116.9280556,34.35861111,NA,MVZ257096
-118.25028,35.578,NA,MVZ265557
-117.84671,33.63705,NA,UCISP24-2
-118.47682,37.71002,request LACM,LACM188004
-122.09763,37.73937,request nearby CAS,IW2821
-118.649,35.84219444,scanned,CAS220918
-122.9726111,39.59286111,scanned,CAS220973
-118.2931944,35.83372222,scanned,CAS224910
-119.7265917,37.09099444,scanned,CAS224937
-121.86558,40.43911,request nearby MVZ,MVZ257301
-120.32026,34.83394,request LACM,LACM189918
-121.46139,35.89377,NA,IW3278
-121.1124,37.73339,NA,IW3219
-120.3101833,35.16518333,scanned,CAS214858
-118.4684167,36.01416667,scanned,CAS219607
-118.6319444,35.46394444,scanned,CAS224099
-121.4752953,39.7452175,scanned,CAS235795
-121.1111694,39.97931944,scanned,CAS234561
-122.6519694,38.17175,scanned,CAS252970
-116.9736,33.09965,NA,WAP1301
-121.32259,35.76495,NA,IW3284
-121.62732,36.11174,NA,IW3291
-118.4545,34.07409,request nearby LACM,HBS133073
-122.62075,39.28161111,scanned,CAS212756
-123.65864,40.94507,NA,IW1501
-118.8980806,36.79689444,scanned,CAS224917
-122.19769,40.38847,request nearby MVZ,MVZ257307
-116.4136667,32.8745,scanned,MVZ232848
-121.55737,36.37528,scanned,MVZ238564
-123.33355,38.5663,NA,IW3247
-120.17941,37.71951,scanned,MVZ243334
-122.10728,38.49518,NA,HBS122657
-122.04566,37.92238,NA,IW2900
-122.15111,38.09649,request nearby CAS,IW2789
-121.91584,37.53105,request nearby CAS,IW1572
-118.617,35.64019444,scanned,CAS224101
-121.1202222,39.67175,scanned,CAS227691
-118.9970889,36.96551944,scanned,CAS241780
-120.342875,38.26848056,scanned,CAS259638
-123.49209,38.73533,NA,IW3258
-118.426299,34.043911,request nearby LACM,HBS136911
-122.30833,37.87036,request nearby CAS,IW1537
-120.43375,38.60622222,request CAS,CAS236226
-120.6703611,36.41786944,scanned,CAS262691
-120.0440556,34.74275,scanned,MVZ257126
-117.6923,36.1769,NA,MVZ269570
-117.16377,33.44111,NA,SMR772
-118.52512,34.69994,request LACM,LACM189587
-120.84985,39.17933,request nearby CAS,IW3245
-120.46551,37.67372,scanned,MVZ243336
-120.35034,34.71633,NA,HBS135926
-120.4538,34.88345,NA,HBS136912
-119.1747222,36.79827778,scanned,CAS224887
-121.6385278,38.56547222,scanned,CAS236233
-120.50786,41.15312,scanned,MVZ233482
-122.447229,40.752781,NA,MVZ250589
-117.55063,33.61279,request nearby LACM,STR47
-118.49419,34.36566,request LACM,LACM186710
-121.81368,39.25265,request nearby MVZ,HBS134214
-123.65272,39.718485,NA,HBS26683
-122.045056,38.509968,NA,HBS34959
